Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
pos_vel/Cache/step,9.522654609695713e-6,9.467493651028657e-6,9.589159385336434e-6,2.2401789578328448e-7,1.817838328043397e-7,2.706669635861754e-7
pos_vel/Map/init,2.6439248368483276e-4,2.625918673078728e-4,2.6710399570125895e-4,8.829189814743984e-6,7.110371880805142e-6,1.240025407825085e-5
pos_vel/Map/step,1.138802633156119e-4,1.1344083356893303e-4,1.1459136216982515e-4,2.2270259760757487e-6,1.6512775715475465e-6,3.366827849815946e-6
pos_vel/ArrayMapB/init,7.422693099800127e-5,7.387999496100954e-5,7.473237370576733e-5,1.541526549067658e-6,1.2460427994782235e-6,1.9550450240886168e-6
pos_vel/ArrayMapB/step,3.645314734111558e-5,3.525626931822587e-5,3.771115980141114e-5,4.608500097138292e-6,3.988113850105029e-6,5.435888170093974e-6
pos_vel/ArrayMapU/init,8.602060986822269e-5,8.578965653480818e-5,8.641669398795305e-5,1.137458490851782e-6,7.994507779708819e-7,1.8661154452971195e-6
pos_vel/ArrayMapU/step,1.266335936090599e-5,1.258144058590451e-5,1.276603954434211e-5,3.597116829957234e-7,2.8198690595772866e-7,4.5687508132625845e-7
pos_vel/ChunkStoreB/init,9.39263298326881e-5,9.370721355626327e-5,9.462813766081997e-5,1.416898910364412e-6,7.061787182859274e-7,2.7227949430767636e-6
pos_vel/ChunkStoreB/step,6.453225983513893e-5,6.313764612260612e-5,6.58559643023831e-5,5.106154537884687e-6,4.4058308839475755e-6,6.252812998978622e-6
pos_vel/SparseStoreB/init,1.093660180503901e-4,1.0895333712698467e-4,1.1005224995859454e-4,1.974092786998796e-6,1.4852782541167259e-6,2.7162427370032724e-6
pos_vel/SparseStoreB/step,3.932791421019073e-5,3.812708855128345e-5,4.0553354511898274e-5,4.46647865195012e-6,3.7066840421976902e-6,5.413281721121026e-6
pos_vel/SparseStoreU/init,1.383750460588598e-4,1.3777026101614875e-4,1.390798620662725e-4,2.4114025334018664e-6,2.0592435398444247e-6,2.8437045291583e-6
pos_vel/SparseStoreU/step,1.4671383991706481e-5,1.4642079252111944e-5,1.4713865149767152e-5,1.3195374754057272e-7,9.850155924562842e-8,1.80641908947731e-7
